0 0 0 1 4 9 48 0 4 0 1 2 10 0
1 0 0 1 3 8 47 0 3 0 1 1 9 0
2 0 0 1 2 7 46 0 2 0 2 0 8 0
3 0 0 1 1 6 45 0 1 0 2 1 7 0
4 0 1 1 1 5 44 0 0 0 2 0 6 0
5 0 0 1 1 4 43 0 1 0 2 0 5 0
6 3 0 0 1 3 42 0 1 0 2 0 4 0
7 2 1 1 1 2 41 0 1 0 2 0 3 0
8 1 16 1 1 1 40 0 1 0 1 1 2 0
9 1 15 1 1 0 39 0 1 0 0 0 2 0
10 1 14 1 1 1 38 0 0 0 0 0 2 0
11 1 13 2 1 0 37 0 0 0 0 0 2 1
12 1 12 2 1 0 36 1 1 0 0 0 2 1
13 0 11 2 1 0 35 1 0 1 1 0 2 0
14 1 10 1 1 0 34 1 1 1 1 1 2 0
15 1 9 1 2 0 33 1 1 1 0 1 2 1
16 1 8 1 2 0 32 1 1 1 1 1 2 2
17 1 7 1 1 1 31 0 1 1 4 1 3 0
18 1 6 1 2 1 30 0 2 0 2 1 3 0
19 1 5 1 1 0 29 0 0 1 3 0 3 0
20 1 4 2 1 1 28 0 0 1 2 1 4 0
21 1 3 1 2 0 27 1 1 1 1 0 4 0
22 1 2 1 1 1 26 1 0 1 2 1 4 0
23 1 1 2 2 2 25 1 2 1 2 1 4 0
24 1 1 2 2 1 24 2 0 1 1 1 1 0
25 0 1 2 3 1 23 1 1 0 2 1 1 0
26 1 3 2 3 0 22 1 1 0 1 1 1 0
27 1 3 2 2 0 21 1 0 0 2 1 4 1
28 1 2 1 2 0 20 2 2 1 2 1 4 1
29 0 2 1 1 0 19 2 2 1 2 0 4 0
30 1 1 2 2 0 18 1 0 1 1 1 4 0
31 1 2 1 2 0 17 1 0 1 1 1 2 0
32 1 2 1 2 0 16 0 0 1 2 1 2 0
33 1 1 2 2 1 15 0 1 1 2 1 2 0
34 1 2 1 2 1 14 0 0 1 1 1 2 0
35 1 2 1 2 0 13 0 0 1 1 1 2 0
36 0 2 1 2 0 12 0 0 1 1 0 2 0
37 1 1 1 2 0 11 0 0 1 1 0 2 0
38 1 2 1 2 0 10 2 1 0 0 1 2 0
39 1 1 1 2 1 9 0 0 1 2 0 14 0
40 0 0 1 2 2 8 2 1 1 11 0 13 1
41 0 1 0 3 2 7 3 0 0 10 1 12 0
42 0 0 1 2 2 6 1 1 1 9 1 11 0
43 0 0 1 1 2 5 3 0 0 8 1 10 0
44 0 1 0 3 2 4 0 1 1 7 1 9 0
45 0 1 0 3 2 3 2 0 1 6 1 8 1
46 1 0 0 2 2 2 1 0 1 5 1 7 0
47 0 0 0 2 1 1 3 1 1 4 1 6 0
48 0 0 0 2 1 0 2 0 1 3 1 5 0
49 0 0 1 3 1 0 1 1 0 2 1 4 0
50 0 0 0 3 2 1 1 1 0 1 1 3 0
51 0 2 1 3 2 2 3 2 1 0 1 2 0
52 1 1 2 5 1 2 2 0 1 1 2 1 0
53 0 2 1 4 1 3 1 0 0 0 2 1 0
54 1 1 2 4 1 4 0 0 1 3 2 1 0
55 1 1 1 3 1 5 0 1 0 2 1 1 0
56 0 3 2 4 0 5 0 0 1 1 1 1 0
57 1 2 2 3 0 5 0 0 1 1 1 1 0
58 1 2 2 3 0 5 1 0 0 0 1 2 0
59 0 3 2 3 0 5 1 1 0 1 1 2 0
60 1 3 2 4 0 6 1 0 1 0 1 2 0
61 1 3 2 4 0 5 2 0 1 1 1 2 1
62 1 4 2 3 1 5 2 1 1 2 0 1 1
63 0 2 2 3 1 5 2 0 1 3 1 2 1
64 0 2 2 4 1 5 3 0 0 2 0 2 1
65 1 2 2 4 1 5 1 0 1 1 1 2 1
66 1 2 1 4 2 5 1 2 1 1 1 1 1
67 0 3 1 3 1 5 1 2 2 2 1 1 1
